OBJECTID,HUC12,Name,NtvFish,FishSWNorm,Shape__Area,Shape__Length
1,180201590400,Gilsizer Slough-Snake River,15,0.625,1166747898.65234,226741.887792187
2,180600080503,Corralitos Canyon,7,0.29166667,235531615.335938,110700.716745614
3,180400010703,Raynor Creek-Chowchilla River,6,0.25,250458905.125,209016.532456319
4,180703041300,Mission Beach-Frontal Pacific Ocean,7,0.29166667,69133066.96875,167295.313548621
5,180902021201,Fortymile Wash,0,0,6926632.6953125,21538.5911655428
6,180101070401,Cooksie Creek-Frontal Pacific Ocean,12,0.5,137810692.929688,84104.0261811512
7,180101070208,North Fork Mattole River,11,0.45833333,168644753.96875,64825.5767423121
8,180101051101,Salt River,15,0.625,192071839.066406,65564.7760113964
9,180101051003,Price Creek-Eel River,14,0.58333333,188915187.941406,78362.7787222207
10,180101020604,Little Salmon Creek-Salmon Creek,11,0.45833333,83200487.5976563,54830.9799745647
11,180101020605,Humboldt Bay,16,0.66666667,336055616.332031,135244.551264187
12,180101010501,Lake Earl,17,0.70833333,135351444.742188,62519.9076541143
13,180101010403,Rowdy Creek,12,0.5,154981560.039063,66559.4913520959
14,180101080702,Virgin Creek-Frontal Pacific Ocean,12,0.5,66502422.84375,66148.7746917307
15,180101060401,Sprout Creek,8,0.33333333,106181362.195313,54813.0908975306
16,180101060305,Fish Creek-South Fork Eel River,8,0.33333333,100634171.484375,44208.777925591
17,180101060402,Redwood Creek,8,0.33333333,115169925.503906,52232.9667880267
18,180101060403,Ohman Creek-South Fork Eel River,8,0.33333333,234766126.996094,82019.744805375
19,180101051002,Monument Creek-Eel River,13,0.54166667,108652021.378906,50775.8999944348
20,180101050602,Lower Larabee Creek,10,0.41666667,179853282.539063,71841.7697229136
21,180101020408,Mill Creek-Mad River,18,0.75,140390181.011719,80332.0334422687
22,180101020601,Jacoby Creek,12,0.5,91405736.3554688,56234.2585760722
23,180101020405,North Fork Mad River,10,0.41666667,220722243.335938,73291.5542393271
24,180102091005,Mettah Creek-Klamath River,19,0.79166667,160729164.613281,85582.5916515057
25,180102091004,Pecwan Creek,16,0.66666667,126844339.488281,52935.4860558717
26,180101010503,Wilson Creek,15,0.625,61660286.953125,43900.8235418322
27,180101010401,Hardscrabble Creek-Smith River,12,0.5,129899450.757813,55030.9808466707
